"name","cloudplatform","nooflabs","lastprovisiondate","category","createdon","comments"
aws.lab.Amazonlinux,AMAZON,14,2021-05-30 08:45:49.611 +0530,RESOURCE_PROVISIONING,2021-05-28 20:32:06.136 +0530,Provisioned
aws.lab.AmazonLinux.Drupal7,AMAZON,24,2019-11-20 16:55:56.043 +0530,RESOURCE_PROVISIONING,2017-05-12 19:31:40.236 +0530,Provisioned
aws.lab.AmazonLinux.Wordpress,AMAZON,4,2017-07-21 16:31:24.745 +0530,RESOURCE_PROVISIONING,2017-05-12 19:32:35.005 +0530,Provisioned
aws.lab.amity.Ubuntu.Desktop,AMAZON,52,2019-02-04 12:43:17.552 +0530,RESOURCE_PROVISIONING,2018-01-22 17:31:54.530 +0530,Provisioned
aws.lab.amity.Windows.C,AMAZON,8,2018-02-02 11:45:27.678 +0530,RESOURCE_PROVISIONING,2018-01-11 16:35:03.169 +0530,Provisioned
aws.lab.amity.Windows.CPP,AMAZON,51,2018-10-16 17:15:53.127 +0530,RESOURCE_PROVISIONING,2018-01-11 16:38:13.172 +0530,Provisioned
aws.lab.amity.Windows.Datastructure,AMAZON,4,2018-02-02 11:44:47.093 +0530,RESOURCE_PROVISIONING,2018-01-11 16:35:16.565 +0530,Provisioned
aws.lab.amity.Windows.DBMS,AMAZON,3,2018-02-02 11:41:10.253 +0530,RESOURCE_PROVISIONING,2018-01-22 17:32:29.615 +0530,Provisioned
aws.lab.amity.Windows.GraphicsAndVB,AMAZON,1,2018-01-11 19:21:04.667 +0530,RESOURCE_PROVISIONING,2018-01-11 16:35:35.383 +0530,Provisioned
aws.lab.amity.Windows.JavaDevelopment,AMAZON,37,2020-09-22 20:02:35.586 +0530,RESOURCE_PROVISIONING,2018-01-22 17:32:50.771 +0530,Provisioned
aws.lab.amity.Windows.Oracle,AMAZON,3,2018-02-02 11:42:12.222 +0530,RESOURCE_PROVISIONING,2018-01-22 17:32:59.817 +0530,Provisioned
aws.lab.amity.Windows.RStudio.Desktop,AMAZON,3,2018-02-02 11:38:45.535 +0530,RESOURCE_PROVISIONING,2018-01-22 17:33:08.073 +0530,Provisioned
aws.lab.Amity.Windows.TurboCPP,AMAZON,4,2018-01-18 18:50:46.861 +0530,RESOURCE_PROVISIONING,2018-01-18 15:48:00.059 +0530,Provisioned
aws.lab.amity.Windows.VB,AMAZON,4,2019-08-13 14:02:16.795 +0530,RESOURCE_PROVISIONING,2018-01-16 21:51:26.249 +0530,Provisioned
aws.lab.AppStream,AMAZON,8,2022-02-16 13:40:48.085 +0530,RESOURCE_PROVISIONING,2022-01-16 10:53:11.792 +0530,Provisioned
aws.lab.aprameya.Windows.Nodejs,AMAZON,36,2017-11-08 10:50:48.792 +0530,RESOURCE_PROVISIONING,2017-11-04 17:54:20.727 +0530,Provisioned
aws.lab.awslinux2.Desktop.BDH,AMAZON,12,2021-10-14 10:54:30.644 +0530,RESOURCE_PROVISIONING,2021-09-17 15:00:27.463 +0530,Provisioned
aws.lab.benchmark.api.Ubuntu.Desktop,AMAZON,,,RESOURCE_PROVISIONING,2021-02-11 18:46:28.618 +0530,Never Requested For Proviosion
aws.lab.benchmark.api.Windows,AMAZON,,,RESOURCE_PROVISIONING,2021-02-11 18:46:37.597 +0530,Never Requested For Proviosion
aws.lab.benchmark.cf.Ubuntu.Desktop,AMAZON,,,RESOURCE_PROVISIONING,2021-02-11 18:46:47.034 +0530,Never Requested For Proviosion
aws.lab.benchmark.cf.Windows,AMAZON,,,RESOURCE_PROVISIONING,2021-02-11 18:46:55.675 +0530,Never Requested For Proviosion
aws.lab.bitsp.Centos.Desktop.Hadoop.x3,AMAZON,132,2023-01-20 13:25:44.794 +0530,RESOURCE_PROVISIONING,2022-10-04 00:39:50.412 +0530,Provisioned
aws.lab.bitsp.Ubuntu.Desktop.Cuda.GPU,AMAZON,4,2022-10-12 09:59:22.132 +0530,RESOURCE_PROVISIONING,2022-09-29 17:52:30.898 +0530,Provisioned
aws.lab.bitsp.Ubuntu.Desktop.Cuda.GPU.x3,AMAZON,233,2023-01-20 17:13:26.456 +0530,RESOURCE_PROVISIONING,2022-10-13 13:18:11.296 +0530,Provisioned
aws.lab.bitsp.Ubuntu.Desktop.Kubernetes.x2,AMAZON,126,2023-01-30 10:21:48.773 +0530,RESOURCE_PROVISIONING,2022-09-29 13:32:43.003 +0530,Provisioned
aws.lab.byol,AMAZON,1742,2022-09-18 23:40:37.107 +0530,RESOURCE_PROVISIONING,2018-04-04 11:01:08.093 +0530,Provisioned
aws.lab.Cadence.Redhat.Desktop.Client,AMAZON,2,2021-05-20 07:45:11.023 +0530,RESOURCE_PROVISIONING,2021-05-19 13:34:02.397 +0530,Provisioned
aws.lab.capgemini.Ubuntu.Kubernetes.Cluster,AMAZON,2,2023-01-06 13:15:45.166 +0530,RESOURCE_PROVISIONING,2022-02-09 11:35:35.754 +0530,Provisioned
aws.lab.capgemini.Ubuntu.Windows.DevOps.x3,AMAZON,3,2022-03-08 19:53:19.573 +0530,RESOURCE_PROVISIONING,2022-03-08 19:02:58.398 +0530,Provisioned
aws.lab.capgemini.Windows.JavaFullStack,AMAZON,,,RESOURCE_PROVISIONING,2022-03-08 12:12:10.207 +0530,Never Requested For Proviosion
aws.lab.capgemini.Windows.MSFullStack,AMAZON,2,2021-12-13 20:05:18.485 +0530,RESOURCE_PROVISIONING,2021-12-10 15:11:24.648 +0530,Provisioned
aws.lab.capgemini.Windows.Spark.Scala,AMAZON,6,2022-03-04 18:39:54.911 +0530,RESOURCE_PROVISIONING,2021-12-13 15:57:09.691 +0530,Provisioned
aws.lab.CDH.Cluster.Ondemand,AMAZON,15,2023-01-06 12:42:27.159 +0530,RESOURCE_PROVISIONING,2022-09-16 12:54:46.121 +0530,Provisioned
aws.lab.Centos7.Desktop,AMAZON,922,2023-01-25 19:18:28.060 +0530,RESOURCE_PROVISIONING,2018-11-20 14:59:39.084 +0530,Provisioned
aws.lab.Centos7.Desktop.CHD,AMAZON,6,2022-02-20 11:01:41.416 +0530,RESOURCE_PROVISIONING,2021-06-21 13:00:18.259 +0530,Provisioned
aws.lab.Centos7.Desktop.Collibra.Trial,AMAZON,15,2022-12-09 15:44:24.675 +0530,RESOURCE_PROVISIONING,2022-12-08 21:02:31.988 +0530,Provisioned
aws.lab.Centos7.Desktop.Couchbase,AMAZON,20,2021-01-08 15:01:20.557 +0530,RESOURCE_PROVISIONING,2020-12-02 16:15:05.518 +0530,Provisioned
aws.lab.Centos7.Desktop.DataEngineering,AMAZON,503,2023-01-30 10:36:27.122 +0530,RESOURCE_PROVISIONING,2021-12-16 12:15:23.484 +0530,Provisioned
aws.lab.Centos7.Desktop.Devops,AMAZON,12,2023-01-26 20:47:09.601 +0530,RESOURCE_PROVISIONING,2020-10-27 17:06:21.713 +0530,Provisioned
aws.lab.Centos7.Desktop.Hadoop.Airflow,AMAZON,3,2022-11-02 17:09:37.968 +0530,RESOURCE_PROVISIONING,2022-10-31 15:39:15.401 +0530,Provisioned
aws.lab.Centos7.Desktop.jenkins,AMAZON,48,2022-08-05 12:06:32.840 +0530,RESOURCE_PROVISIONING,2020-12-04 15:36:11.782 +0530,Provisioned
aws.lab.Centos7.Desktop.kubernetes,AMAZON,8,2020-12-02 14:55:44.430 +0530,RESOURCE_PROVISIONING,2020-07-07 17:55:40.875 +0530,Provisioned
aws.lab.Centos7.Desktop.MongoDB,AMAZON,1,2022-06-01 19:07:14.846 +0530,RESOURCE_PROVISIONING,2022-06-01 18:37:50.384 +0530,Provisioned
aws.lab.Centos7.Desktop.MySQL,AMAZON,97,2022-10-27 11:29:49.726 +0530,RESOURCE_PROVISIONING,2020-06-29 16:51:33.870 +0530,Provisioned
aws.lab.Centos7.Desktop.Postgresql,AMAZON,148,2022-01-09 08:00:24.099 +0530,RESOURCE_PROVISIONING,2020-08-06 15:54:50.750 +0530,Provisioned
aws.lab.Centos7.Desktop.RHPAM,AMAZON,4,2020-09-22 07:19:33.793 +0530,RESOURCE_PROVISIONING,2020-09-21 19:50:08.203 +0530,Provisioned
aws.lab.Centos7.Desktop.Sagemaker,AMAZON,1,2022-11-11 17:52:05.367 +0530,RESOURCE_PROVISIONING,2022-11-10 17:14:17.921 +0530,Provisioned
aws.lab.Centos7.Desktop.Scala.Spark,AMAZON,134,2022-11-16 17:12:45.120 +0530,RESOURCE_PROVISIONING,2022-07-13 18:57:29.349 +0530,Provisioned
aws.lab.Centos7.Desktop.Splunk,AMAZON,34,2020-12-10 22:02:04.300 +0530,RESOURCE_PROVISIONING,2020-12-10 14:10:45.399 +0530,Provisioned
aws.lab.Centos7.Desktop.x10,AMAZON,33,2021-07-06 07:15:39.645 +0530,RESOURCE_PROVISIONING,2021-06-27 15:38:19.742 +0530,Provisioned
aws.lab.Centos7.Desktop.x2,AMAZON,69,2022-04-18 18:36:15.160 +0530,RESOURCE_PROVISIONING,2021-12-04 12:07:07.827 +0530,Provisioned
aws.lab.Centos7.Desktop.x3,AMAZON,271,2023-01-27 21:31:10.112 +0530,RESOURCE_PROVISIONING,2019-11-28 17:54:19.212 +0530,Provisioned
aws.lab.Centos7.Desktop.x4,AMAZON,148,2021-06-26 22:48:46.574 +0530,RESOURCE_PROVISIONING,2018-11-07 16:47:04.756 +0530,Provisioned
aws.lab.Centos7.OpenSUSE,AMAZON,49,2020-09-29 16:56:24.076 +0530,RESOURCE_PROVISIONING,2020-09-16 17:04:42.647 +0530,Provisioned
aws.lab.Centos7.Windows.Desktop.x4,AMAZON,6,2022-01-14 15:59:03.904 +0530,RESOURCE_PROVISIONING,2022-01-14 12:48:44.125 +0530,Provisioned
aws.lab.Centos7.x2,AMAZON,17,2022-11-28 14:21:33.553 +0530,RESOURCE_PROVISIONING,2019-03-15 19:29:27.798 +0530,Provisioned
aws.lab.Centos8.Desktop,AMAZON,97,2021-12-28 15:28:07.175 +0530,RESOURCE_PROVISIONING,2021-05-05 15:31:38.943 +0530,Provisioned
aws.lab.Centos8.Desktop.SparkScala,AMAZON,4,2021-09-25 13:29:09.564 +0530,RESOURCE_PROVISIONING,2021-08-13 21:24:38.187 +0530,Provisioned
aws.lab.Centos.Cloudera.CDH,AMAZON,761,2022-11-11 11:39:32.206 +0530,RESOURCE_PROVISIONING,2019-08-13 17:57:30.745 +0530,Provisioned
aws.lab.Centos.Cloudera.CDH.Jupyter.Analytixlabs,AMAZON,20,2022-12-06 14:57:17.973 +0530,RESOURCE_PROVISIONING,2022-01-12 11:02:02.525 +0530,Provisioned
aws.lab.Centos.Cloudera.Quickstart,AMAZON,3,2019-07-14 10:49:16.120 +0530,RESOURCE_PROVISIONING,2019-03-05 19:18:20.926 +0530,Provisioned
aws.lab.Centos.Cloudera.Setup,AMAZON,2,2017-12-01 20:35:42.862 +0530,RESOURCE_PROVISIONING,2017-11-17 14:34:32.422 +0530,Provisioned
aws.lab.Centos.Desktop,AMAZON,109,2022-06-08 07:52:59.229 +0530,RESOURCE_PROVISIONING,2017-12-21 10:44:28.944 +0530,Provisioned
aws.lab.Centos.Desktop.Driver,AMAZON,1,2019-04-11 18:57:59.014 +0530,RESOURCE_PROVISIONING,2019-04-11 17:57:21.544 +0530,Provisioned
aws.lab.Centos.Desktop.Hadoop,AMAZON,38,2022-11-25 10:25:22.161 +0530,RESOURCE_PROVISIONING,2022-05-03 21:31:55.492 +0530,Provisioned
aws.lab.Centos.Desktop.Hadoop.Spark,AMAZON,172,2022-12-09 10:45:20.502 +0530,RESOURCE_PROVISIONING,2022-08-19 11:52:15.560 +0530,Provisioned
aws.lab.Centos.Desktop.Hive.Spark,AMAZON,64,2022-10-17 12:24:14.025 +0530,RESOURCE_PROVISIONING,2022-08-10 11:59:47.963 +0530,Provisioned
aws.lab.Centos.Desktop.Postgresql,AMAZON,25,2019-12-09 11:41:23.278 +0530,RESOURCE_PROVISIONING,2019-11-14 11:15:41.233 +0530,Provisioned
aws.lab.Centos.Desktop.Scala,AMAZON,368,2022-03-14 09:35:24.033 +0530,RESOURCE_PROVISIONING,2021-09-25 17:20:50.218 +0530,Provisioned
aws.lab.Centos.Desktop.x5,AMAZON,10,2022-02-10 18:42:33.222 +0530,RESOURCE_PROVISIONING,2022-01-10 16:27:49.707 +0530,Provisioned
aws.lab.Centos.FSD.Java,AMAZON,2,2018-02-12 15:48:52.304 +0530,RESOURCE_PROVISIONING,2018-02-09 21:43:05.018 +0530,Provisioned
aws.lab.Centos.Hadoop.Cluster.Infra,AMAZON,3,2018-03-26 14:29:07.921 +0530,RESOURCE_PROVISIONING,2018-03-21 12:08:18.624 +0530,Provisioned
aws.lab.Centos.MapR,AMAZON,,,RESOURCE_PROVISIONING,2019-09-18 20:01:12.055 +0530,Never Requested For Proviosion
aws.lab.Centos.niit.Cloudera.CDH,AMAZON,,,RESOURCE_PROVISIONING,2021-07-05 15:32:12.953 +0530,Never Requested For Proviosion
aws.lab.Centos.Redhat,AMAZON,3,2019-06-28 14:18:39.630 +0530,RESOURCE_PROVISIONING,2019-06-28 12:48:49.934 +0530,Provisioned
aws.lab.Centos.Ubuntu.Desktop.Ansible.x3,AMAZON,61,2022-12-25 20:05:52.279 +0530,RESOURCE_PROVISIONING,2022-04-26 20:14:59.632 +0530,Provisioned
aws.lab.Centos.Ubuntu.Desktop.Ansible.x4,AMAZON,3,2022-04-20 18:15:36.853 +0530,RESOURCE_PROVISIONING,2021-11-16 19:54:49.105 +0530,Provisioned
aws.lab.Centos.Ubuntu.Desktop.x5,AMAZON,33,2022-10-09 12:28:42.308 +0530,RESOURCE_PROVISIONING,2022-10-02 15:03:48.484 +0530,Provisioned
aws.lab.Centos.Ubuntu.Windows.x4,AMAZON,143,2022-09-27 10:12:08.280 +0530,RESOURCE_PROVISIONING,2022-04-21 16:09:35.551 +0530,Provisioned
aws.lab.Cisco.ASAv,AMAZON,4,2022-04-18 09:38:00.323 +0530,RESOURCE_PROVISIONING,2020-06-10 17:15:43.358 +0530,Provisioned
aws.lab.cognexia.Ubuntu.Desktop.x3,AMAZON,17,2021-12-10 08:17:11.392 +0530,RESOURCE_PROVISIONING,2021-11-30 11:43:08.050 +0530,Provisioned
aws.lab.cognixia.Centos7.Desktop.x2,AMAZON,6,2021-12-04 10:43:59.191 +0530,RESOURCE_PROVISIONING,2021-12-03 19:43:21.752 +0530,Provisioned
aws.lab.cognixia.Centos7.x2,AMAZON,8,2022-01-18 17:47:16.468 +0530,RESOURCE_PROVISIONING,2021-12-03 17:05:15.726 +0530,Provisioned
aws.lab.cognixia.Centos8.Putty.x2,AMAZON,2,2021-12-03 16:26:00.116 +0530,RESOURCE_PROVISIONING,2021-12-03 16:13:05.148 +0530,Provisioned
aws.lab.cognixia.Centos8.x2,AMAZON,2,2021-12-03 15:10:13.613 +0530,RESOURCE_PROVISIONING,2021-12-03 13:19:31.130 +0530,Provisioned
aws.lab.cognixia.Centos.Desktop.Postgresql,AMAZON,28,2021-09-05 07:31:29.749 +0530,RESOURCE_PROVISIONING,2021-09-01 20:31:21.720 +0530,Provisioned
aws.lab.Cognixia.kafka.Ubuntu.Desktop.x3,AMAZON,5,2022-01-29 11:30:15.542 +0530,RESOURCE_PROVISIONING,2022-01-28 19:32:43.628 +0530,Provisioned
aws.lab.cognixia.Ubuntu.Desktop.Kafka.x3,AMAZON,19,2022-02-07 15:50:06.843 +0530,RESOURCE_PROVISIONING,2022-01-29 16:35:58.079 +0530,Provisioned
aws.lab.cognixia.Ubuntu.Desktop.x2,AMAZON,2,2021-12-02 17:04:17.627 +0530,RESOURCE_PROVISIONING,2021-12-02 16:46:21.799 +0530,Provisioned
aws.lab.cognixia.Ubuntu.Desktop.x3,AMAZON,1,2021-12-02 13:51:33.372 +0530,RESOURCE_PROVISIONING,2021-11-30 15:04:47.826 +0530,Provisioned
aws.lab.cognixia.Windows.DotNET,AMAZON,116,2021-12-22 08:22:11.140 +0530,RESOURCE_PROVISIONING,2021-12-03 10:13:14.041 +0530,Provisioned
aws.lab.Corpacademia.Ubuntu.Desktop.Java,AMAZON,20,2021-07-18 17:23:32.490 +0530,RESOURCE_PROVISIONING,2021-07-16 15:24:53.229 +0530,Provisioned
aws.lab.csag.Windows.AppServer,AMAZON,7,2020-01-13 20:21:21.583 +0530,RESOURCE_PROVISIONING,2020-01-03 16:41:18.048 +0530,Provisioned
aws.lab.csag.Windows.Client,AMAZON,72,2020-01-18 15:23:19.460 +0530,RESOURCE_PROVISIONING,2020-01-08 17:35:30.452 +0530,Provisioned
aws.lab.csag.Windows.DBDCServer,AMAZON,3,2020-01-03 16:09:37.502 +0530,RESOURCE_PROVISIONING,2020-01-03 15:08:21.188 +0530,Provisioned
aws.lab.csag.Windows.Servers,AMAZON,2,2020-01-03 11:14:20.091 +0530,RESOURCE_PROVISIONING,2020-01-02 19:22:22.638 +0530,Provisioned
aws.lab.doselect.Ubuntu.Desktop.DeepLearning,AMAZON,1,2018-11-22 17:43:05.247 +0530,RESOURCE_PROVISIONING,2018-11-22 17:28:42.179 +0530,Provisioned
aws.lab.edcast.Ubuntu.Apache.Hadoop,AMAZON,,,RESOURCE_PROVISIONING,2018-12-12 17:03:18.713 +0530,Never Requested For Proviosion
aws.lab.edcast.Ubuntu.Desktop.Python.Anaconda,AMAZON,,,RESOURCE_PROVISIONING,2018-12-12 17:03:26.890 +0530,Never Requested For Proviosion
aws.lab.edcast.Ubuntu.Desktop.TensorFlow,AMAZON,3,2018-04-09 16:47:32.556 +0530,RESOURCE_PROVISIONING,2018-03-13 09:26:29.832 +0530,Provisioned
aws.lab.edcast.Ubuntu.Desktop.VLSI,AMAZON,,,RESOURCE_PROVISIONING,2018-12-12 17:03:42.476 +0530,Never Requested For Proviosion
aws.lab.edcast.Ubuntu.Drupal,AMAZON,1,2019-09-17 16:42:09.261 +0530,RESOURCE_PROVISIONING,2018-12-12 17:20:24.555 +0530,Provisioned
aws.lab.edcast.Ubuntu.Hadoop.Cluster,AMAZON,2,2018-03-13 15:19:13.956 +0530,RESOURCE_PROVISIONING,2018-02-15 12:24:02.496 +0530,Provisioned
aws.lab.edcast.Ubuntu.Hadoop.Scala,AMAZON,2,2018-03-09 15:34:47.087 +0530,RESOURCE_PROVISIONING,2018-02-15 12:24:11.587 +0530,Provisioned
aws.lab.edcast.Ubuntu.R,AMAZON,13,2018-07-02 10:51:04.436 +0530,RESOURCE_PROVISIONING,2018-02-15 12:24:20.724 +0530,Provisioned
aws.lab.edcast.Windows.Angular,AMAZON,,,RESOURCE_PROVISIONING,2018-12-17 12:13:13.315 +0530,Never Requested For Proviosion
aws.lab.edcast.Windows.EclipseJavaPython,AMAZON,,,RESOURCE_PROVISIONING,2018-12-17 12:13:24.753 +0530,Never Requested For Proviosion
aws.lab.edcast.Windows.UiPath,AMAZON,1,2019-05-21 17:31:54.061 +0530,RESOURCE_PROVISIONING,2018-12-17 12:13:35.182 +0530,Provisioned
aws.lab.edforce.Redhat6.Desktop,AMAZON,34,2023-01-16 15:25:08.254 +0530,RESOURCE_PROVISIONING,2023-01-11 10:48:05.131 +0530,Provisioned
aws.lab.edforce.Ubuntu.Desktop.Confluent.Kafka,AMAZON,3,2022-03-18 09:48:13.595 +0530,RESOURCE_PROVISIONING,2022-03-16 12:10:05.768 +0530,Provisioned
aws.lab.edforce.Ubuntu.Desktop.MYSQL,AMAZON,32,2022-04-03 13:22:44.151 +0530,RESOURCE_PROVISIONING,2022-03-22 15:31:22.293 +0530,Provisioned
aws.lab.edforce.Ubuntu.Desktop.x2,AMAZON,131,2022-09-05 18:58:34.790 +0530,RESOURCE_PROVISIONING,2022-05-24 15:40:21.045 +0530,Provisioned
aws.lab.edforce.Windows19.Splunk,AMAZON,51,2022-03-28 14:26:42.077 +0530,RESOURCE_PROVISIONING,2022-03-22 16:47:51.977 +0530,Provisioned
aws.lab.edforce.Windows2019.Groovy,AMAZON,48,2022-04-06 13:23:25.207 +0530,RESOURCE_PROVISIONING,2022-03-22 16:12:13.774 +0530,Provisioned
aws.lab.edforce.Windows.Eclipse,AMAZON,75,2022-06-17 09:37:48.918 +0530,RESOURCE_PROVISIONING,2022-05-02 12:52:08.100 +0530,Provisioned
aws.lab.edforce.Windows.Go,AMAZON,86,2023-01-09 18:23:37.176 +0530,RESOURCE_PROVISIONING,2022-05-06 15:52:07.149 +0530,Provisioned
aws.lab.edforce.Windows.Sfdx,AMAZON,35,2022-11-25 05:11:22.397 +0530,RESOURCE_PROVISIONING,2022-05-04 17:43:31.411 +0530,Provisioned
aws.lab.edforce.Windows.Testcomplete.Trial,AMAZON,3,2023-01-20 19:20:56.854 +0530,RESOURCE_PROVISIONING,2023-01-20 17:50:16.357 +0530,Provisioned
aws.lab.edforce.wipro.Windows.Eclipse,AMAZON,,,RESOURCE_PROVISIONING,2022-05-02 12:26:13.115 +0530,Never Requested For Proviosion
aws.lab.Eduramp.Centos7.Scala,AMAZON,29,2021-08-16 00:46:32.470 +0530,RESOURCE_PROVISIONING,2021-08-14 17:09:27.571 +0530,Provisioned
aws.lab.Eduramp.Centos8.Desktop.SparkScala,AMAZON,1,2021-08-13 21:42:53.710 +0530,RESOURCE_PROVISIONING,2021-08-13 21:39:14.050 +0530,Provisioned
aws.lab.Eduramp.Centos8.Scala,AMAZON,7,2021-10-13 16:41:01.300 +0530,RESOURCE_PROVISIONING,2021-08-12 16:38:59.869 +0530,Provisioned
aws.lab.eduramp.OEL55.Desktop.Oracle,AMAZON,15,2020-06-07 15:39:00.900 +0530,RESOURCE_PROVISIONING,2020-05-26 16:08:42.303 +0530,Provisioned
aws.lab.Eduramp.Ubuntu18.Desktop.Devops,AMAZON,208,2023-01-28 11:47:19.500 +0530,RESOURCE_PROVISIONING,2021-10-01 16:32:28.763 +0530,Provisioned
aws.lab.eduramp.Ubuntu20.Desktop.Minikube,AMAZON,37,2022-05-16 11:12:16.164 +0530,RESOURCE_PROVISIONING,2022-03-18 13:51:55.305 +0530,Provisioned
aws.lab.eduramp.Windows.Microstrategy,AMAZON,34,2022-10-10 14:54:46.559 +0530,RESOURCE_PROVISIONING,2022-10-07 18:11:01.122 +0530,Provisioned
aws.lab.Eduramp.Windows.OBIEE,AMAZON,55,2020-05-27 17:53:38.855 +0530,RESOURCE_PROVISIONING,2018-07-20 13:09:36.163 +0530,Provisioned
aws.lab.edureka.b2c.Ubuntu.Desktop.DevOps,AMAZON,5976,2023-02-02 14:13:16.465 +0530,RESOURCE_PROVISIONING,2021-03-23 17:43:14.752 +0530,Provisioned
aws.lab.edureka.Centos7.Desktop.3x,AMAZON,23,2020-11-09 23:48:29.460 +0530,RESOURCE_PROVISIONING,2020-11-07 15:42:14.315 +0530,Provisioned
aws.lab.edureka.Centos7.Desktop.kubernetes,AMAZON,58,2020-11-24 08:23:06.568 +0530,RESOURCE_PROVISIONING,2020-07-18 14:14:52.545 +0530,Provisioned
aws.lab.edureka.Centos7.Desktop.WebDevelopement,AMAZON,7,2020-08-06 10:45:50.772 +0530,RESOURCE_PROVISIONING,2020-08-05 21:00:06.366 +0530,Provisioned
aws.lab.edureka.Centos7.Desktop.x2,AMAZON,338,2021-12-04 11:46:51.123 +0530,RESOURCE_PROVISIONING,2019-11-26 12:46:42.520 +0530,Provisioned
aws.lab.edureka.Centos7.x2,AMAZON,133,2022-12-18 20:15:22.926 +0530,RESOURCE_PROVISIONING,2021-10-20 17:57:29.220 +0530,Provisioned
aws.lab.edureka.Centos.Cloudera,AMAZON,,,RESOURCE_PROVISIONING,2017-10-16 11:19:19.596 +0530,Never Requested For Proviosion
aws.lab.edureka.Centos.Cloudera.CDH,AMAZON,35,2022-10-07 11:09:43.407 +0530,RESOURCE_PROVISIONING,2022-07-16 13:30:48.539 +0530,Provisioned
aws.lab.edureka.Ubuntu18.WebDevelopement,AMAZON,3,2020-07-31 10:34:22.390 +0530,RESOURCE_PROVISIONING,2020-07-30 23:10:37.419 +0530,Provisioned
aws.lab.edureka.Ubuntu.Anaconda.Jupyter,AMAZON,387,2023-01-28 00:52:35.480 +0530,RESOURCE_PROVISIONING,2020-05-23 22:31:24.742 +0530,Provisioned
aws.lab.edureka.Ubuntu.Desktop.Cybersecurity,AMAZON,4,2021-08-25 09:47:07.433 +0530,RESOURCE_PROVISIONING,2021-06-01 07:28:56.051 +0530,Provisioned
aws.lab.edureka.Ubuntu.Desktop.DevOps,AMAZON,745,2022-11-29 06:35:56.361 +0530,RESOURCE_PROVISIONING,2018-03-29 13:05:41.201 +0530,Provisioned
aws.lab.edureka.Ubuntu.Desktop.Docker,AMAZON,51,2020-06-08 23:05:03.666 +0530,RESOURCE_PROVISIONING,2020-03-17 12:57:17.052 +0530,Provisioned
aws.lab.edureka.Ubuntu.Desktop.Microservices,AMAZON,113,2022-09-28 20:15:49.653 +0530,RESOURCE_PROVISIONING,2022-02-17 21:25:33.183 +0530,Provisioned
aws.lab.edureka.Ubuntu.Desktop.MySQL,AMAZON,893,2022-07-08 03:10:10.536 +0530,RESOURCE_PROVISIONING,2020-02-18 17:43:16.761 +0530,Provisioned
